title,year
Agricultural Application of Price Monitoring System,2011
A Web Directory Service for Children with Special Needs,2011
The Ontology Layer for the Distributed Registry of Children with Special Needs,2011
Augmenting Student and Teacher Interaction through Mobile Devices,2011
A Method for Generating an Interactive Map Using Open-Source GIS Tools,2011
Software Framework for Secure Online Transaction Using Public Key Cryptography,2011
Performance Testing of a Flash-Enhanced Netbook,2011
"Traffic Light Analysis, Design and Implementation for Unsignalized Intersections",2011
A Data Aggregator for the Heterogeneous Distributed Databases,2011
A Digital Map of Northern Mindanao,2011
A Data Aggregator for a Distributed Health Research and Development Information System,2011
Generating Alternative Routes of Minimal Distances with Road Network Graphical Model of Cagayan de Oro,2011
Enterprise Learning System for Farmer's Training,2011
The Implementation and Evaluation of a Customized User Interface for the Graduate School E-Learn System,2011
The Implementation and Evaluation of Chat Application in E-Learning System,2011
The Design Development and Implementation of a Phonetic Multimedia System for Preschool Pupils,2011
Development and Implementation of Multimedia System Used in History Class,2011
"Design, Development and Evaluation of Computer Aided Instruction for Hearing Impaired Students",2011
Development and Evaluation of an Interactive Multimedia Quiz Show,2011
Development and Evaluation of a Website with Streaming Video Recorded Lectures,2011
Web-based Information Technology Infrastructure Inventory Tracking System,2011
Evaluating the Effectivity and Usability of a Phonetic Multimedia System for Preschool Pupils,2011
The Usability of Implementing Web-based Instructional Tool in Multimedia Aided Classroom among Students,2011
Visual Student Advisor Tool,2011
Use of Fedora Scripts for Academic Data Mining,2011
